Image,Labels
E:\KLU\3rd year\3_2\deep learning\Deep Learning Programs\Food Classification\burger\022.jpg,burger
E:\KLU\3rd year\3_2\deep learning\Deep Learning Programs\Food Classification\burger\023.jpg,burger
E:\KLU\3rd year\3_2\deep learning\Deep Learning Programs\Food Classification\burger\024.jpg,burger
E:\KLU\3rd year\3_2\deep learning\Deep Learning Programs\Food Classification\burger\025.jpg,burger
E:\KLU\3rd year\3_2\deep learning\Deep Learning Programs\Food Classification\burger\026.jpg,burger
E:\KLU\3rd year\3_2\deep learning\Deep Learning Programs\Food Classification\burger\027.jpg,burger
E:\KLU\3rd year\3_2\deep learning\Deep Learning Programs\Food Classification\burger\028.jpg,burger
E:\KLU\3rd year\3_2\deep learning\Deep Learning Programs\Food Classification\burger\029.jpg,burger
E:\KLU\3rd year\3_2\deep learning\Deep Learning Programs\Food Classification\burger\030.jpg,burger
E:\KLU\3rd year\3_2\deep learning\Deep Learning Programs\Food Classification\burger\031.jpg,burger
E:\KLU\3rd year\3_2\deep learning\Deep Learning Programs\Food Classification\burger\032.jpg,burger
E:\KLU\3rd year\3_2\deep learning\Deep Learning Programs\Food Classification\burger\033.jpg,burger
E:\KLU\3rd year\3_2\deep learning\Deep Learning Programs\Food Classification\burger\034.jpg,burger
E:\KLU\3rd year\3_2\deep learning\Deep Learning Programs\Food Classification\burger\035.jpg,burger
E:\KLU\3rd year\3_2\deep learning\Deep Learning Programs\Food Classification\burger\036.jpg,burger
E:\KLU\3rd year\3_2\deep learning\Deep Learning Programs\Food Classification\burger\037.jpg,burger
E:\KLU\3rd year\3_2\deep learning\Deep Learning Programs\Food Classification\burger\038.jpg,burger
E:\KLU\3rd year\3_2\deep learning\Deep Learning Programs\Food Classification\burger\039.jpg,burger
E:\KLU\3rd year\3_2\deep learning\Deep Learning Programs\Food Classification\burger\040.jpg,burger
E:\KLU\3rd year\3_2\deep learning\Deep Learning Programs\Food Classification\burger\041.jpg,burger
E:\KLU\3rd year\3_2\deep learning\Deep Learning Programs\Food Classification\burger\042.jpg,burger
E:\KLU\3rd year\3_2\deep learning\Deep Learning Programs\Food Classification\burger\043.jpg,burger
E:\KLU\3rd year\3_2\deep learning\Deep Learning Programs\Food Classification\burger\044.jpg,burger
E:\KLU\3rd year\3_2\deep learning\Deep Learning Programs\Food Classification\burger\045.jpg,burger
E:\KLU\3rd year\3_2\deep learning\Deep Learning Programs\Food Classification\burger\046.jpg,burger
E:\KLU\3rd year\3_2\deep learning\Deep Learning Programs\Food Classification\burger\047.jpg,burger
E:\KLU\3rd year\3_2\deep learning\Deep Learning Programs\Food Classification\burger\048.jpg,burger
E:\KLU\3rd year\3_2\deep learning\Deep Learning Programs\Food Classification\burger\049.jpg,burger
E:\KLU\3rd year\3_2\deep learning\Deep Learning Programs\Food Classification\burger\050.jpg,burger
E:\KLU\3rd year\3_2\deep learning\Deep Learning Programs\Food Classification\burger\051.jpg,burger
E:\KLU\3rd year\3_2\deep learning\Deep Learning Programs\Food Classification\burger\052.jpg,burger
E:\KLU\3rd year\3_2\deep learning\Deep Learning Programs\Food Classification\burger\053.jpg,burger
E:\KLU\3rd year\3_2\deep learning\Deep Learning Programs\Food Classification\burger\054.jpg,burger
E:\KLU\3rd year\3_2\deep learning\Deep Learning Programs\Food Classification\burger\055.jpg,burger
E:\KLU\3rd year\3_2\deep learning\Deep Learning Programs\Food Classification\burger\056.jpg,burger
E:\KLU\3rd year\3_2\deep learning\Deep Learning Programs\Food Classification\burger\057.jpg,burger
E:\KLU\3rd year\3_2\deep learning\Deep Learning Programs\Food Classification\burger\058.jpg,burger
E:\KLU\3rd year\3_2\deep learning\Deep Learning Programs\Food Classification\burger\059.jpg,burger
E:\KLU\3rd year\3_2\deep learning\Deep Learning Programs\Food Classification\burger\060.jpg,burger
E:\KLU\3rd year\3_2\deep learning\Deep Learning Programs\Food Classification\burger\061.jpg,burger
E:\KLU\3rd year\3_2\deep learning\Deep Learning Programs\Food Classification\burger\062.jpg,burger
E:\KLU\3rd year\3_2\deep learning\Deep Learning Programs\Food Classification\burger\063.jpg,burger
E:\KLU\3rd year\3_2\deep learning\Deep Learning Programs\Food Classification\burger\064.jpg,burger
E:\KLU\3rd year\3_2\deep learning\Deep Learning Programs\Food Classification\burger\065.jpg,burger
E:\KLU\3rd year\3_2\deep learning\Deep Learning Programs\Food Classification\burger\066.jpg,burger
E:\KLU\3rd year\3_2\deep learning\Deep Learning Programs\Food Classification\burger\067.jpg,burger
E:\KLU\3rd year\3_2\deep learning\Deep Learning Programs\Food Classification\burger\068.jpg,burger
E:\KLU\3rd year\3_2\deep learning\Deep Learning Programs\Food Classification\burger\069.jpg,burger
E:\KLU\3rd year\3_2\deep learning\Deep Learning Programs\Food Classification\burger\070.jpg,burger
E:\KLU\3rd year\3_2\deep learning\Deep Learning Programs\Food Classification\burger\071.jpg,burger
E:\KLU\3rd year\3_2\deep learning\Deep Learning Programs\Food Classification\burger\072.jpg,burger
E:\KLU\3rd year\3_2\deep learning\Deep Learning Programs\Food Classification\burger\073.jpg,burger
E:\KLU\3rd year\3_2\deep learning\Deep Learning Programs\Food Classification\burger\074.jpg,burger
E:\KLU\3rd year\3_2\deep learning\Deep Learning Programs\Food Classification\burger\075.jpg,burger
E:\KLU\3rd year\3_2\deep learning\Deep Learning Programs\Food Classification\burger\076.jpg,burger
E:\KLU\3rd year\3_2\deep learning\Deep Learning Programs\Food Classification\burger\077.jpg,burger
E:\KLU\3rd year\3_2\deep learning\Deep Learning Programs\Food Classification\burger\078.jpg,burger
E:\KLU\3rd year\3_2\deep learning\Deep Learning Programs\Food Classification\burger\079.jpg,burger
E:\KLU\3rd year\3_2\deep learning\Deep Learning Programs\Food Classification\burger\080.jpg,burger
E:\KLU\3rd year\3_2\deep learning\Deep Learning Programs\Food Classification\burger\081.jpg,burger
E:\KLU\3rd year\3_2\deep learning\Deep Learning Programs\Food Classification\burger\082.jpg,burger
E:\KLU\3rd year\3_2\deep learning\Deep Learning Programs\Food Classification\burger\083.jpg,burger
E:\KLU\3rd year\3_2\deep learning\Deep Learning Programs\Food Classification\burger\084.jpg,burger
E:\KLU\3rd year\3_2\deep learning\Deep Learning Programs\Food Classification\burger\085.jpg,burger
E:\KLU\3rd year\3_2\deep learning\Deep Learning Programs\Food Classification\burger\086.jpg,burger
E:\KLU\3rd year\3_2\deep learning\Deep Learning Programs\Food Classification\burger\087.jpg,burger
E:\KLU\3rd year\3_2\deep learning\Deep Learning Programs\Food Classification\burger\088.jpg,burger
E:\KLU\3rd year\3_2\deep learning\Deep Learning Programs\Food Classification\burger\089.jpg,burger
E:\KLU\3rd year\3_2\deep learning\Deep Learning Programs\Food Classification\burger\090.jpg,burger
E:\KLU\3rd year\3_2\deep learning\Deep Learning Programs\Food Classification\burger\091.jpg,burger
E:\KLU\3rd year\3_2\deep learning\Deep Learning Programs\Food Classification\burger\092.jpg,burger
E:\KLU\3rd year\3_2\deep learning\Deep Learning Programs\Food Classification\burger\093.jpg,burger
E:\KLU\3rd year\3_2\deep learning\Deep Learning Programs\Food Classification\burger\094.jpg,burger
E:\KLU\3rd year\3_2\deep learning\Deep Learning Programs\Food Classification\burger\095.jpg,burger
E:\KLU\3rd year\3_2\deep learning\Deep Learning Programs\Food Classification\burger\096.jpg,burger
E:\KLU\3rd year\3_2\deep learning\Deep Learning Programs\Food Classification\burger\097.jpg,burger
E:\KLU\3rd year\3_2\deep learning\Deep Learning Programs\Food Classification\burger\098.jpg,burger
E:\KLU\3rd year\3_2\deep learning\Deep Learning Programs\Food Classification\burger\099.jpg,burger
E:\KLU\3rd year\3_2\deep learning\Deep Learning Programs\Food Classification\burger\100.jpg,burger
E:\KLU\3rd year\3_2\deep learning\Deep Learning Programs\Food Classification\burger\101.jpg,burger
E:\KLU\3rd year\3_2\deep learning\Deep Learning Programs\Food Classification\burger\102.jpg,burger
E:\KLU\3rd year\3_2\deep learning\Deep Learning Programs\Food Classification\burger\103.jpg,burger
E:\KLU\3rd year\3_2\deep learning\Deep Learning Programs\Food Classification\burger\104.jpg,burger
E:\KLU\3rd year\3_2\deep learning\Deep Learning Programs\Food Classification\burger\105.jpg,burger
E:\KLU\3rd year\3_2\deep learning\Deep Learning Programs\Food Classification\burger\106.jpg,burger
E:\KLU\3rd year\3_2\deep learning\Deep Learning Programs\Food Classification\burger\107.jpg,burger
E:\KLU\3rd year\3_2\deep learning\Deep Learning Programs\Food Classification\burger\108.jpg,burger
E:\KLU\3rd year\3_2\deep learning\Deep Learning Programs\Food Classification\burger\109.jpg,burger
E:\KLU\3rd year\3_2\deep learning\Deep Learning Programs\Food Classification\burger\110.jpg,burger
E:\KLU\3rd year\3_2\deep learning\Deep Learning Programs\Food Classification\burger\111.jpg,burger
E:\KLU\3rd year\3_2\deep learning\Deep Learning Programs\Food Classification\burger\112.jpg,burger
E:\KLU\3rd year\3_2\deep learning\Deep Learning Programs\Food Classification\burger\113.jpg,burger
E:\KLU\3rd year\3_2\deep learning\Deep Learning Programs\Food Classification\burger\114.jpg,burger
E:\KLU\3rd year\3_2\deep learning\Deep Learning Programs\Food Classification\burger\115.jpg,burger
E:\KLU\3rd year\3_2\deep learning\Deep Learning Programs\Food Classification\burger\116.jpg,burger
E:\KLU\3rd year\3_2\deep learning\Deep Learning Programs\Food Classification\burger\117.jpg,burger
E:\KLU\3rd year\3_2\deep learning\Deep Learning Programs\Food Classification\burger\118.jpg,burger
E:\KLU\3rd year\3_2\deep learning\Deep Learning Programs\Food Classification\burger\119.jpg,burger
E:\KLU\3rd year\3_2\deep learning\Deep Learning Programs\Food Classification\burger\120.jpg,burger
E:\KLU\3rd year\3_2\deep learning\Deep Learning Programs\Food Classification\burger\121.jpg,burger
E:\KLU\3rd year\3_2\deep learning\Deep Learning Programs\Food Classification\burger\122.jpg,burger
E:\KLU\3rd year\3_2\deep learning\Deep Learning Programs\Food Classification\burger\123.jpg,burger
E:\KLU\3rd year\3_2\deep learning\Deep Learning Programs\Food Classification\burger\124.jpg,burger
E:\KLU\3rd year\3_2\deep learning\Deep Learning Programs\Food Classification\burger\125.jpg,burger
E:\KLU\3rd year\3_2\deep learning\Deep Learning Programs\Food Classification\burger\126.jpg,burger
E:\KLU\3rd year\3_2\deep learning\Deep Learning Programs\Food Classification\burger\127.jpg,burger
E:\KLU\3rd year\3_2\deep learning\Deep Learning Programs\Food Classification\burger\128.jpg,burger
E:\KLU\3rd year\3_2\deep learning\Deep Learning Programs\Food Classification\burger\129.jpg,burger
E:\KLU\3rd year\3_2\deep learning\Deep Learning Programs\Food Classification\burger\130.jpg,burger
E:\KLU\3rd year\3_2\deep learning\Deep Learning Programs\Food Classification\burger\131.jpg,burger
E:\KLU\3rd year\3_2\deep learning\Deep Learning Programs\Food Classification\burger\132.jpg,burger
E:\KLU\3rd year\3_2\deep learning\Deep Learning Programs\Food Classification\burger\133.jpg,burger
E:\KLU\3rd year\3_2\deep learning\Deep Learning Programs\Food Classification\burger\134.jpg,burger
E:\KLU\3rd year\3_2\deep learning\Deep Learning Programs\Food Classification\burger\135.jpg,burger
E:\KLU\3rd year\3_2\deep learning\Deep Learning Programs\Food Classification\burger\136.jpg,burger
E:\KLU\3rd year\3_2\deep learning\Deep Learning Programs\Food Classification\burger\137.jpg,burger
E:\KLU\3rd year\3_2\deep learning\Deep Learning Programs\Food Classification\burger\138.jpg,burger
E:\KLU\3rd year\3_2\deep learning\Deep Learning Programs\Food Classification\burger\139.jpg,burger
E:\KLU\3rd year\3_2\deep learning\Deep Learning Programs\Food Classification\burger\140.jpg,burger
E:\KLU\3rd year\3_2\deep learning\Deep Learning Programs\Food Classification\burger\141.jpg,burger
E:\KLU\3rd year\3_2\deep learning\Deep Learning Programs\Food Classification\burger\142.jpg,burger
E:\KLU\3rd year\3_2\deep learning\Deep Learning Programs\Food Classification\burger\143.jpg,burger
E:\KLU\3rd year\3_2\deep learning\Deep Learning Programs\Food Classification\burger\144.jpg,burger
E:\KLU\3rd year\3_2\deep learning\Deep Learning Programs\Food Classification\burger\145.jpg,burger
E:\KLU\3rd year\3_2\deep learning\Deep Learning Programs\Food Classification\burger\146.jpg,burger
E:\KLU\3rd year\3_2\deep learning\Deep Learning Programs\Food Classification\burger\147.jpg,burger
E:\KLU\3rd year\3_2\deep learning\Deep Learning Programs\Food Classification\burger\148.jpg,burger
E:\KLU\3rd year\3_2\deep learning\Deep Learning Programs\Food Classification\burger\149.jpg,burger
E:\KLU\3rd year\3_2\deep learning\Deep Learning Programs\Food Classification\burger\150.jpg,burger
E:\KLU\3rd year\3_2\deep learning\Deep Learning Programs\Food Classification\burger\151.jpg,burger
E:\KLU\3rd year\3_2\deep learning\Deep Learning Programs\Food Classification\burger\152.jpg,burger
E:\KLU\3rd year\3_2\deep learning\Deep Learning Programs\Food Classification\burger\153.jpg,burger
E:\KLU\3rd year\3_2\deep learning\Deep Learning Programs\Food Classification\burger\154.jpg,burger
E:\KLU\3rd year\3_2\deep learning\Deep Learning Programs\Food Classification\burger\155.jpg,burger
E:\KLU\3rd year\3_2\deep learning\Deep Learning Programs\Food Classification\burger\156.jpg,burger
E:\KLU\3rd year\3_2\deep learning\Deep Learning Programs\Food Classification\burger\157.jpg,burger
E:\KLU\3rd year\3_2\deep learning\Deep Learning Programs\Food Classification\burger\158.jpg,burger
E:\KLU\3rd year\3_2\deep learning\Deep Learning Programs\Food Classification\burger\159.jpg,burger
E:\KLU\3rd year\3_2\deep learning\Deep Learning Programs\Food Classification\burger\160.jpg,burger
E:\KLU\3rd year\3_2\deep learning\Deep Learning Programs\Food Classification\burger\161.jpg,burger
E:\KLU\3rd year\3_2\deep learning\Deep Learning Programs\Food Classification\burger\162.jpg,burger
E:\KLU\3rd year\3_2\deep learning\Deep Learning Programs\Food Classification\burger\163.jpg,burger
E:\KLU\3rd year\3_2\deep learning\Deep Learning Programs\Food Classification\burger\164.jpg,burger
E:\KLU\3rd year\3_2\deep learning\Deep Learning Programs\Food Classification\burger\165.jpg,burger
E:\KLU\3rd year\3_2\deep learning\Deep Learning Programs\Food Classification\burger\166.jpg,burger
E:\KLU\3rd year\3_2\deep learning\Deep Learning Programs\Food Classification\burger\167.jpg,burger
E:\KLU\3rd year\3_2\deep learning\Deep Learning Programs\Food Classification\burger\168.jpg,burger
E:\KLU\3rd year\3_2\deep learning\Deep Learning Programs\Food Classification\burger\169.jpg,burger
E:\KLU\3rd year\3_2\deep learning\Deep Learning Programs\Food Classification\burger\170.jpg,burger
E:\KLU\3rd year\3_2\deep learning\Deep Learning Programs\Food Classification\burger\171.jpg,burger
E:\KLU\3rd year\3_2\deep learning\Deep Learning Programs\Food Classification\burger\172.jpg,burger
E:\KLU\3rd year\3_2\deep learning\Deep Learning Programs\Food Classification\burger\173.jpg,burger
E:\KLU\3rd year\3_2\deep learning\Deep Learning Programs\Food Classification\burger\174.jpg,burger
E:\KLU\3rd year\3_2\deep learning\Deep Learning Programs\Food Classification\burger\175.jpg,burger
E:\KLU\3rd year\3_2\deep learning\Deep Learning Programs\Food Classification\burger\176.jpg,burger
E:\KLU\3rd year\3_2\deep learning\Deep Learning Programs\Food Classification\burger\177.jpg,burger
E:\KLU\3rd year\3_2\deep learning\Deep Learning Programs\Food Classification\burger\178.jpg,burger
E:\KLU\3rd year\3_2\deep learning\Deep Learning Programs\Food Classification\burger\179.jpg,burger
E:\KLU\3rd year\3_2\deep learning\Deep Learning Programs\Food Classification\burger\180.jpg,burger
E:\KLU\3rd year\3_2\deep learning\Deep Learning Programs\Food Classification\burger\181.jpg,burger
E:\KLU\3rd year\3_2\deep learning\Deep Learning Programs\Food Classification\burger\182.jpg,burger
E:\KLU\3rd year\3_2\deep learning\Deep Learning Programs\Food Classification\burger\183.jpg,burger
E:\KLU\3rd year\3_2\deep learning\Deep Learning Programs\Food Classification\burger\184.jpg,burger
E:\KLU\3rd year\3_2\deep learning\Deep Learning Programs\Food Classification\burger\185.jpg,burger
E:\KLU\3rd year\3_2\deep learning\Deep Learning Programs\Food Classification\burger\186.jpg,burger
E:\KLU\3rd year\3_2\deep learning\Deep Learning Programs\Food Classification\burger\187.jpg,burger
E:\KLU\3rd year\3_2\deep learning\Deep Learning Programs\Food Classification\burger\188.jpg,burger
E:\KLU\3rd year\3_2\deep learning\Deep Learning Programs\Food Classification\burger\189.jpg,burger
E:\KLU\3rd year\3_2\deep learning\Deep Learning Programs\Food Classification\burger\190.jpg,burger
E:\KLU\3rd year\3_2\deep learning\Deep Learning Programs\Food Classification\burger\191.jpg,burger
E:\KLU\3rd year\3_2\deep learning\Deep Learning Programs\Food Classification\burger\192.jpg,burger
E:\KLU\3rd year\3_2\deep learning\Deep Learning Programs\Food Classification\burger\193.jpg,burger
E:\KLU\3rd year\3_2\deep learning\Deep Learning Programs\Food Classification\burger\194.jpg,burger
E:\KLU\3rd year\3_2\deep learning\Deep Learning Programs\Food Classification\burger\195.jpg,burger
E:\KLU\3rd year\3_2\deep learning\Deep Learning Programs\Food Classification\burger\196.jpg,burger
E:\KLU\3rd year\3_2\deep learning\Deep Learning Programs\Food Classification\burger\197.jpg,burger
E:\KLU\3rd year\3_2\deep learning\Deep Learning Programs\Food Classification\burger\198.jpg,burger
E:\KLU\3rd year\3_2\deep learning\Deep Learning Programs\Food Classification\burger\199.jpg,burger
E:\KLU\3rd year\3_2\deep learning\Deep Learning Programs\Food Classification\burger\200.jpg,burger
E:\KLU\3rd year\3_2\deep learning\Deep Learning Programs\Food Classification\burger\201.jpg,burger
E:\KLU\3rd year\3_2\deep learning\Deep Learning Programs\Food Classification\burger\202.jpg,burger
E:\KLU\3rd year\3_2\deep learning\Deep Learning Programs\Food Classification\burger\203.jpg,burger
E:\KLU\3rd year\3_2\deep learning\Deep Learning Programs\Food Classification\burger\204.jpg,burger
E:\KLU\3rd year\3_2\deep learning\Deep Learning Programs\Food Classification\burger\205.jpg,burger
E:\KLU\3rd year\3_2\deep learning\Deep Learning Programs\Food Classification\burger\206.jpg,burger
E:\KLU\3rd year\3_2\deep learning\Deep Learning Programs\Food Classification\burger\207.jpg,burger
E:\KLU\3rd year\3_2\deep learning\Deep Learning Programs\Food Classification\burger\208.jpg,burger
E:\KLU\3rd year\3_2\deep learning\Deep Learning Programs\Food Classification\burger\209.jpg,burger
E:\KLU\3rd year\3_2\deep learning\Deep Learning Programs\Food Classification\burger\210.jpg,burger
E:\KLU\3rd year\3_2\deep learning\Deep Learning Programs\Food Classification\burger\211.jpg,burger
E:\KLU\3rd year\3_2\deep learning\Deep Learning Programs\Food Classification\burger\212.jpg,burger
E:\KLU\3rd year\3_2\deep learning\Deep Learning Programs\Food Classification\burger\213.jpg,burger
E:\KLU\3rd year\3_2\deep learning\Deep Learning Programs\Food Classification\burger\214.jpg,burger
E:\KLU\3rd year\3_2\deep learning\Deep Learning Programs\Food Classification\burger\215.jpg,burger
E:\KLU\3rd year\3_2\deep learning\Deep Learning Programs\Food Classification\burger\216.jpg,burger
E:\KLU\3rd year\3_2\deep learning\Deep Learning Programs\Food Classification\burger\217.jpg,burger
E:\KLU\3rd year\3_2\deep learning\Deep Learning Programs\Food Classification\burger\218.jpg,burger
E:\KLU\3rd year\3_2\deep learning\Deep Learning Programs\Food Classification\burger\219.jpg,burger
E:\KLU\3rd year\3_2\deep learning\Deep Learning Programs\Food Classification\burger\220.jpg,burger
E:\KLU\3rd year\3_2\deep learning\Deep Learning Programs\Food Classification\burger\221.jpg,burger
E:\KLU\3rd year\3_2\deep learning\Deep Learning Programs\Food Classification\burger\222.jpg,burger
E:\KLU\3rd year\3_2\deep learning\Deep Learning Programs\Food Classification\burger\223.jpg,burger
E:\KLU\3rd year\3_2\deep learning\Deep Learning Programs\Food Classification\burger\224.jpg,burger
E:\KLU\3rd year\3_2\deep learning\Deep Learning Programs\Food Classification\burger\225.jpg,burger
E:\KLU\3rd year\3_2\deep learning\Deep Learning Programs\Food Classification\burger\226.jpg,burger
E:\KLU\3rd year\3_2\deep learning\Deep Learning Programs\Food Classification\burger\227.jpg,burger
E:\KLU\3rd year\3_2\deep learning\Deep Learning Programs\Food Classification\burger\228.jpg,burger
E:\KLU\3rd year\3_2\deep learning\Deep Learning Programs\Food Classification\burger\229.jpg,burger
E:\KLU\3rd year\3_2\deep learning\Deep Learning Programs\Food Classification\burger\230.jpg,burger
E:\KLU\3rd year\3_2\deep learning\Deep Learning Programs\Food Classification\burger\231.jpg,burger
E:\KLU\3rd year\3_2\deep learning\Deep Learning Programs\Food Classification\burger\232.jpg,burger
E:\KLU\3rd year\3_2\deep learning\Deep Learning Programs\Food Classification\burger\233.jpg,burger
E:\KLU\3rd year\3_2\deep learning\Deep Learning Programs\Food Classification\burger\234.jpg,burger
E:\KLU\3rd year\3_2\deep learning\Deep Learning Programs\Food Classification\burger\235.jpg,burger
E:\KLU\3rd year\3_2\deep learning\Deep Learning Programs\Food Classification\burger\236.jpg,burger
E:\KLU\3rd year\3_2\deep learning\Deep Learning Programs\Food Classification\burger\237.jpg,burger
E:\KLU\3rd year\3_2\deep learning\Deep Learning Programs\Food Classification\burger\238.jpg,burger
E:\KLU\3rd year\3_2\deep learning\Deep Learning Programs\Food Classification\burger\239.jpg,burger
E:\KLU\3rd year\3_2\deep learning\Deep Learning Programs\Food Classification\burger\240.jpg,burger
E:\KLU\3rd year\3_2\deep learning\Deep Learning Programs\Food Classification\burger\241.jpg,burger
E:\KLU\3rd year\3_2\deep learning\Deep Learning Programs\Food Classification\burger\242.jpg,burger
E:\KLU\3rd year\3_2\deep learning\Deep Learning Programs\Food Classification\burger\243.jpg,burger
E:\KLU\3rd year\3_2\deep learning\Deep Learning Programs\Food Classification\burger\244.jpg,burger
E:\KLU\3rd year\3_2\deep learning\Deep Learning Programs\Food Classification\burger\245.jpg,burger
E:\KLU\3rd year\3_2\deep learning\Deep Learning Programs\Food Classification\burger\246.jpg,burger
E:\KLU\3rd year\3_2\deep learning\Deep Learning Programs\Food Classification\burger\247.jpg,burger
E:\KLU\3rd year\3_2\deep learning\Deep Learning Programs\Food Classification\burger\248.jpg,burger
E:\KLU\3rd year\3_2\deep learning\Deep Learning Programs\Food Classification\burger\249.jpg,burger
E:\KLU\3rd year\3_2\deep learning\Deep Learning Programs\Food Classification\burger\250.jpg,burger
E:\KLU\3rd year\3_2\deep learning\Deep Learning Programs\Food Classification\burger\251.jpg,burger
E:\KLU\3rd year\3_2\deep learning\Deep Learning Programs\Food Classification\burger\252.jpg,burger
E:\KLU\3rd year\3_2\deep learning\Deep Learning Programs\Food Classification\burger\253.jpg,burger
E:\KLU\3rd year\3_2\deep learning\Deep Learning Programs\Food Classification\burger\254.jpg,burger
E:\KLU\3rd year\3_2\deep learning\Deep Learning Programs\Food Classification\burger\255.jpg,burger
E:\KLU\3rd year\3_2\deep learning\Deep Learning Programs\Food Classification\burger\256.jpg,burger
E:\KLU\3rd year\3_2\deep learning\Deep Learning Programs\Food Classification\burger\257.jpg,burger
E:\KLU\3rd year\3_2\deep learning\Deep Learning Programs\Food Classification\burger\258.jpg,burger
E:\KLU\3rd year\3_2\deep learning\Deep Learning Programs\Food Classification\burger\259.jpg,burger
E:\KLU\3rd year\3_2\deep learning\Deep Learning Programs\Food Classification\burger\260.jpg,burger
E:\KLU\3rd year\3_2\deep learning\Deep Learning Programs\Food Classification\burger\261.jpg,burger
E:\KLU\3rd year\3_2\deep learning\Deep Learning Programs\Food Classification\burger\262.jpg,burger
E:\KLU\3rd year\3_2\deep learning\Deep Learning Programs\Food Classification\burger\263.jpg,burger
E:\KLU\3rd year\3_2\deep learning\Deep Learning Programs\Food Classification\burger\264.jpg,burger
E:\KLU\3rd year\3_2\deep learning\Deep Learning Programs\Food Classification\burger\265.jpg,burger
E:\KLU\3rd year\3_2\deep learning\Deep Learning Programs\Food Classification\burger\266.jpg,burger
E:\KLU\3rd year\3_2\deep learning\Deep Learning Programs\Food Classification\burger\267.jpg,burger
E:\KLU\3rd year\3_2\deep learning\Deep Learning Programs\Food Classification\burger\268.jpg,burger
E:\KLU\3rd year\3_2\deep learning\Deep Learning Programs\Food Classification\burger\269.jpg,burger
E:\KLU\3rd year\3_2\deep learning\Deep Learning Programs\Food Classification\burger\270.jpg,burger
E:\KLU\3rd year\3_2\deep learning\Deep Learning Programs\Food Classification\burger\271.jpg,burger
E:\KLU\3rd year\3_2\deep learning\Deep Learning Programs\Food Classification\burger\272.jpg,burger
E:\KLU\3rd year\3_2\deep learning\Deep Learning Programs\Food Classification\burger\273.jpg,burger
E:\KLU\3rd year\3_2\deep learning\Deep Learning Programs\Food Classification\burger\274.jpg,burger
E:\KLU\3rd year\3_2\deep learning\Deep Learning Programs\Food Classification\burger\275.jpg,burger
E:\KLU\3rd year\3_2\deep learning\Deep Learning Programs\Food Classification\burger\276.jpg,burger
E:\KLU\3rd year\3_2\deep learning\Deep Learning Programs\Food Classification\burger\277.jpg,burger
E:\KLU\3rd year\3_2\deep learning\Deep Learning Programs\Food Classification\burger\278.jpg,burger
E:\KLU\3rd year\3_2\deep learning\Deep Learning Programs\Food Classification\burger\279.jpg,burger
E:\KLU\3rd year\3_2\deep learning\Deep Learning Programs\Food Classification\burger\280.jpg,burger
E:\KLU\3rd year\3_2\deep learning\Deep Learning Programs\Food Classification\burger\281.jpg,burger
E:\KLU\3rd year\3_2\deep learning\Deep Learning Programs\Food Classification\burger\282.jpg,burger
E:\KLU\3rd year\3_2\deep learning\Deep Learning Programs\Food Classification\burger\283.jpg,burger
E:\KLU\3rd year\3_2\deep learning\Deep Learning Programs\Food Classification\burger\284.jpg,burger
E:\KLU\3rd year\3_2\deep learning\Deep Learning Programs\Food Classification\burger\285.jpg,burger
